,Apartment,Customer,April,May,June,July
8519,마포 상암월드컵파크,5003006,148.03,189.75,215.03,414.78
8520,마포 상암월드컵파크,5003007,174.73,209.97,220.03,254.28
8521,마포 상암월드컵파크,5003008,139.61,164.37,173.33,292.06
8522,마포 상암월드컵파크,5003009,234.91,279.68,297.22,367.39
8523,마포 상암월드컵파크,5003010,150.67,202.98,296.96,643.54
8524,마포 상암월드컵파크,5003011,139.38,139.33,146.12,137.14
8525,마포 상암월드컵파크,5003012,197.64,227.41,252.77,526.62
8526,마포 상암월드컵파크,5003013,162.2,187.95,284.4,574.07
8527,마포 상암월드컵파크,5003014,119.78,151.83,175.25,292.51
8528,마포 상암월드컵파크,5003015,121.23,149.96,163.61,221.34
8529,마포 상암월드컵파크,5003016,163.87,198.88,201.97,281.41
8530,마포 상암월드컵파크,5003017,119.44,145.8,125.83,130.43
8531,마포 상암월드컵파크,5003018,173.46,192.94,218.19,310.86
8532,마포 상암월드컵파크,5003019,146.7,188.88,213.36,404.17
8533,마포 상암월드컵파크,5003020,129.46,162.72,163.09,199.55
8534,마포 상암월드컵파크,5003021,181.29,218.5,243.13,336.0
8535,마포 상암월드컵파크,5003022,132.37,158.06,169.47,227.86
